epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14200.7,1.20207,0.25957,0.98785,0.88063,0.73548,0.82608,0.48839,1.60367,0.31217,1.15805,0.00079705,0.00079705,0.00079705
43,14537,1.19761,0.25796,0.98317,0.88171,0.73522,0.82636,0.48973,1.59935,0.31052,1.15686,0.0007921,0.0007921,0.0007921
44,14872.8,1.18751,0.25372,0.97986,0.88196,0.73652,0.82615,0.49133,1.59801,0.30896,1.15754,0.00078715,0.00078715,0.00078715
45,15209.9,1.18164,0.25364,0.97696,0.8792,0.73661,0.82565,0.49163,1.59472,0.3074,1.15659,0.0007822,0.0007822,0.0007822
46,15546.4,1.16328,0.24927,0.97449,0.8823,0.73791,0.82885,0.49367,1.59279,0.30673,1.15718,0.00077725,0.00077725,0.00077725
47,15882.6,1.15606,0.24601,0.97026,0.88061,0.74038,0.82935,0.49396,1.59155,0.30572,1.15758,0.0007723,0.0007723,0.0007723
48,16218.7,1.14569,0.24352,0.96553,0.88327,0.73954,0.83001,0.49461,1.59034,0.3046,1.15754,0.00076735,0.00076735,0.00076735
49,16554.8,1.14272,0.24396,0.96773,0.88415,0.74275,0.83077,0.49543,1.58847,0.30365,1.15798,0.0007624,0.0007624,0.0007624
50,16890.9,1.13295,0.24007,0.96075,0.88216,0.74414,0.83075,0.49607,1.58817,0.30272,1.15877,0.00075745,0.00075745,0.00075745
51,17226.3,1.12007,0.23671,0.95744,0.88186,0.74512,0.83195,0.49669,1.5859,0.30163,1.1585,0.0007525,0.0007525,0.0007525
52,17562.8,1.11819,0.23637,0.95874,0.87995,0.74624,0.832,0.49762,1.58542,0.30106,1.15925,0.00074755,0.00074755,0.00074755
53,17899.3,1.11014,0.23402,0.9538,0.88404,0.74516,0.83323,0.49808,1.58492,0.30045,1.16021,0.0007426,0.0007426,0.0007426
54,18234.7,1.09921,0.23066,0.95193,0.87998,0.7461,0.83239,0.49856,1.58364,0.29964,1.16019,0.00073765,0.00073765,0.00073765
55,18570.8,1.086,0.22765,0.94761,0.88007,0.74488,0.83312,0.49943,1.58222,0.29911,1.16066,0.0007327,0.0007327,0.0007327
56,18907,1.07947,0.22571,0.9426,0.88319,0.74637,0.83402,0.50003,1.58123,0.2987,1.1612,0.00072775,0.00072775,0.00072775
57,19245.1,1.07225,0.22434,0.94292,0.88097,0.74713,0.83328,0.50033,1.58006,0.29792,1.16157,0.0007228,0.0007228,0.0007228
58,19581.2,1.07005,0.22349,0.94182,0.87998,0.74819,0.8341,0.50105,1.57872,0.29748,1.16215,0.00071785,0.00071785,0.00071785
59,19917.6,1.05227,0.22055,0.9362,0.87973,0.74859,0.83435,0.50191,1.57831,0.29683,1.16295,0.0007129,0.0007129,0.0007129
60,20253.7,1.0526,0.21995,0.93473,0.88066,0.74888,0.83444,0.50267,1.57782,0.29642,1.16363,0.00070795,0.00070795,0.00070795
61,20591.9,1.03912,0.21658,0.93119,0.88289,0.74888,0.83508,0.50339,1.57737,0.29612,1.16398,0.000703,0.000703,0.000703
62,20927.8,1.03209,0.21549,0.92959,0.88267,0.74819,0.83522,0.50383,1.57613,0.29554,1.16428,0.00069805,0.00069805,0.00069805
63,21264.5,1.02508,0.21432,0.9272,0.88344,0.74847,0.83524,0.50374,1.57607,0.295,1.1649,0.0006931,0.0006931,0.0006931
64,21600.1,1.0276,0.21423,0.9284,0.88394,0.74976,0.83599,0.50433,1.57479,0.29422,1.16519,0.00068815,0.00068815,0.00068815
65,21936.8,1.0172,0.21175,0.92466,0.88368,0.75084,0.83683,0.50504,1.57363,0.29358,1.1653,0.0006832,0.0006832,0.0006832
66,22273.3,1.0043,0.20999,0.92279,0.88499,0.75167,0.83762,0.5053,1.57327,0.29309,1.16595,0.00067825,0.00067825,0.00067825
67,22609.9,1.0067,0.20916,0.92442,0.88414,0.75056,0.83728,0.50553,1.57356,0.29281,1.16655,0.0006733,0.0006733,0.0006733
68,22947,0.99149,0.20641,0.91812,0.88452,0.75112,0.83732,0.5063,1.57328,0.29255,1.16739,0.00066835,0.00066835,0.00066835
69,23283.2,0.98893,0.20601,0.9186,0.88455,0.75125,0.83675,0.5065,1.57278,0.29231,1.1679,0.0006634,0.0006634,0.0006634
70,23620.7,0.98514,0.2054,0.91716,0.88308,0.75112,0.83684,0.50677,1.57218,0.29184,1.16853,0.00065845,0.00065845,0.00065845
71,23957.2,0.97248,0.2026,0.91388,0.88574,0.75009,0.83714,0.50707,1.57234,0.29138,1.16947,0.0006535,0.0006535,0.0006535
72,24296.1,0.96858,0.20177,0.91392,0.88709,0.75,0.83737,0.5074,1.57176,0.29086,1.1703,0.00064855,0.00064855,0.00064855
