epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3762.28,0.98126,0.48592,0.99197,0.96275,0.94486,0.95805,0.67807,1.01691,0.42993,1.07549,0.00079705,0.00079705,0.00079705
43,3850.31,0.98089,0.47811,0.9846,0.96266,0.94499,0.95686,0.68145,0.9974,0.4266,1.06584,0.0007921,0.0007921,0.0007921
44,3939.28,0.97955,0.47073,0.98954,0.96,0.94471,0.957,0.67893,1.01153,0.43033,1.07185,0.00078715,0.00078715,0.00078715
45,4027.5,0.97944,0.47888,0.99347,0.95952,0.94627,0.95939,0.67934,1.00442,0.42758,1.0683,0.0007822,0.0007822,0.0007822
46,4115.85,0.97301,0.46921,0.9911,0.9634,0.94549,0.95767,0.68349,0.99951,0.41655,1.06649,0.00077725,0.00077725,0.00077725
47,4204.79,0.96552,0.46744,0.98386,0.96157,0.94341,0.95862,0.68025,1.00419,0.42729,1.07026,0.0007723,0.0007723,0.0007723
48,4293.21,0.96334,0.46952,0.98391,0.96254,0.94234,0.95786,0.68059,1.00409,0.42408,1.06371,0.00076735,0.00076735,0.00076735
49,4381.46,0.95934,0.4639,0.98229,0.96502,0.94557,0.95781,0.67983,0.98871,0.42652,1.06025,0.0007624,0.0007624,0.0007624
50,4469.85,0.96351,0.45739,0.98467,0.96648,0.94546,0.95876,0.6823,0.99333,0.41625,1.06129,0.00075745,0.00075745,0.00075745
51,4557.94,0.95778,0.46117,0.98276,0.9682,0.94415,0.95888,0.68409,0.99939,0.42735,1.06535,0.0007525,0.0007525,0.0007525
52,4647.57,0.95991,0.4505,0.98091,0.95712,0.94545,0.95419,0.67308,0.99854,0.42261,1.069,0.00074755,0.00074755,0.00074755
53,4735.67,0.95856,0.4571,0.97937,0.96765,0.9461,0.95901,0.68255,0.99996,0.41079,1.06442,0.0007426,0.0007426,0.0007426
54,4824.09,0.95648,0.45483,0.97901,0.96275,0.9472,0.9572,0.68491,0.99354,0.40763,1.06067,0.00073765,0.00073765,0.00073765
55,4912.83,0.95767,0.45742,0.98089,0.96471,0.94581,0.95744,0.68517,0.98977,0.41395,1.06091,0.0007327,0.0007327,0.0007327
56,5003.19,0.94992,0.44839,0.97778,0.96488,0.94881,0.95765,0.67846,1.00383,0.41143,1.06404,0.00072775,0.00072775,0.00072775
57,5091.28,0.94074,0.44409,0.97353,0.96443,0.94497,0.95897,0.68474,1.00321,0.40344,1.06459,0.0007228,0.0007228,0.0007228
58,5179.63,0.93226,0.4386,0.97639,0.96687,0.94517,0.95845,0.68505,0.98936,0.41463,1.05858,0.00071785,0.00071785,0.00071785
59,5268.09,0.93974,0.44322,0.97289,0.96542,0.94771,0.96005,0.68779,0.98747,0.40443,1.05735,0.0007129,0.0007129,0.0007129
60,5357.26,0.93477,0.43673,0.97475,0.97055,0.94531,0.96089,0.68649,0.98626,0.40347,1.06047,0.00070795,0.00070795,0.00070795
61,5445.67,0.93294,0.43754,0.97244,0.96868,0.94965,0.96134,0.68316,0.99034,0.39897,1.05952,0.000703,0.000703,0.000703
62,5534.01,0.93574,0.43861,0.97396,0.96776,0.94875,0.95769,0.68597,0.98904,0.40286,1.05883,0.00069805,0.00069805,0.00069805
63,5622.29,0.92721,0.43694,0.97191,0.96762,0.95018,0.96135,0.68747,0.98725,0.40418,1.05882,0.0006931,0.0006931,0.0006931
64,5710.73,0.93301,0.43511,0.96721,0.968,0.9467,0.95956,0.68819,0.98603,0.40024,1.05793,0.00068815,0.00068815,0.00068815
65,5799.77,0.92118,0.42814,0.96377,0.96688,0.94966,0.95958,0.6909,0.98147,0.39766,1.05721,0.0006832,0.0006832,0.0006832
66,5889.11,0.91355,0.42223,0.9618,0.96699,0.9486,0.95975,0.68908,0.98666,0.39375,1.05644,0.00067825,0.00067825,0.00067825
67,5977.36,0.91281,0.42438,0.96647,0.96888,0.9521,0.96128,0.69108,0.98205,0.38964,1.05331,0.0006733,0.0006733,0.0006733
68,6066.61,0.91167,0.42278,0.96634,0.97047,0.94925,0.96095,0.69162,0.97834,0.38516,1.05384,0.00066835,0.00066835,0.00066835
69,6155.63,0.91028,0.42498,0.96303,0.97092,0.94832,0.9614,0.69035,0.98057,0.3872,1.05561,0.0006634,0.0006634,0.0006634
70,6244.04,0.90289,0.4167,0.96138,0.96853,0.94893,0.96206,0.69229,0.98098,0.38507,1.05752,0.00065845,0.00065845,0.00065845
71,6333.03,0.90526,0.41812,0.96,0.97104,0.94949,0.96155,0.69396,0.9776,0.38647,1.05237,0.0006535,0.0006535,0.0006535
72,6422.31,0.90295,0.41569,0.95625,0.97157,0.95012,0.964,0.6967,0.97397,0.37812,1.04716,0.00064855,0.00064855,0.00064855
73,6511.21,0.90716,0.41886,0.95976,0.9696,0.94875,0.96235,0.6896,0.98444,0.3812,1.05387,0.0006436,0.0006436,0.0006436
74,6599.76,0.9035,0.41695,0.96343,0.96805,0.95315,0.96046,0.68815,0.98507,0.38122,1.05519,0.00063865,0.00063865,0.00063865
75,6688.27,0.90317,0.41184,0.96103,0.97042,0.95209,0.96294,0.69364,0.97726,0.37691,1.05146,0.0006337,0.0006337,0.0006337
76,6776.75,0.89985,0.41029,0.95929,0.97084,0.95069,0.96156,0.69523,0.9742,0.37599,1.05218,0.00062875,0.00062875,0.00062875
77,6865.79,0.90989,0.41918,0.96364,0.9685,0.95091,0.96313,0.69343,0.97686,0.38109,1.05123,0.0006238,0.0006238,0.0006238
78,6954.42,0.89335,0.41112,0.95597,0.96936,0.95095,0.96282,0.69592,0.97393,0.38171,1.04987,0.00061885,0.00061885,0.00061885
79,7042.57,0.8857,0.4047,0.9557,0.972,0.95163,0.9613,0.69462,0.97257,0.37507,1.05289,0.0006139,0.0006139,0.0006139
80,7130.92,0.89208,0.40368,0.9571,0.97035,0.95348,0.96393,0.69611,0.97822,0.37211,1.0528,0.00060895,0.00060895,0.00060895
81,7219.09,0.87565,0.40028,0.95111,0.97148,0.95328,0.96338,0.69669,0.9737,0.37009,1.05286,0.000604,0.000604,0.000604
82,7307.55,0.88123,0.40222,0.95166,0.97102,0.95208,0.96209,0.69622,0.97237,0.37291,1.05044,0.00059905,0.00059905,0.00059905
83,7395.84,0.87636,0.40133,0.95034,0.97037,0.9538,0.96215,0.69499,0.97558,0.37338,1.052,0.0005941,0.0005941,0.0005941
84,7484.33,0.87472,0.40381,0.94832,0.97069,0.95203,0.96151,0.69389,0.9774,0.375,1.05139,0.00058915,0.00058915,0.00058915
85,7572.52,0.86902,0.39753,0.94445,0.96896,0.95138,0.96265,0.69615,0.97144,0.37307,1.04984,0.0005842,0.0005842,0.0005842
86,7660.82,0.87642,0.39745,0.94743,0.97157,0.9518,0.96312,0.69805,0.97562,0.37142,1.05075,0.00057925,0.00057925,0.00057925
87,7749.55,0.86179,0.39426,0.94345,0.97177,0.95255,0.96224,0.69599,0.97443,0.36703,1.05135,0.0005743,0.0005743,0.0005743
88,7838.14,0.86074,0.39453,0.9481,0.96974,0.95426,0.96159,0.6951,0.97949,0.36816,1.05284,0.00056935,0.00056935,0.00056935
89,7926.51,0.85917,0.38734,0.94711,0.97038,0.95339,0.96183,0.69737,0.97454,0.36864,1.05233,0.0005644,0.0005644,0.0005644
90,8015.2,0.86672,0.39237,0.95029,0.97095,0.95511,0.96281,0.69761,0.97262,0.37008,1.05018,0.00055945,0.00055945,0.00055945
91,8104.32,0.86381,0.38713,0.94689,0.97307,0.95238,0.96289,0.69787,0.97293,0.36694,1.0508,0.0005545,0.0005545,0.0005545
92,8194.21,0.85333,0.38792,0.94155,0.96989,0.95472,0.96297,0.69784,0.96996,0.37034,1.04906,0.00054955,0.00054955,0.00054955
93,8283.41,0.84801,0.38503,0.94153,0.97023,0.95278,0.96241,0.69838,0.9707,0.36843,1.04875,0.0005446,0.0005446,0.0005446
94,8372.75,0.85148,0.38577,0.94107,0.97244,0.95266,0.96356,0.69993,0.97185,0.36685,1.05095,0.00053965,0.00053965,0.00053965
95,8461.69,0.85114,0.38285,0.94185,0.97125,0.95327,0.96356,0.7012,0.97203,0.37,1.05053,0.0005347,0.0005347,0.0005347
96,8550.99,0.84807,0.38371,0.94413,0.97254,0.95299,0.96303,0.70099,0.96876,0.36669,1.04997,0.00052975,0.00052975,0.00052975
97,8639.4,0.85104,0.38641,0.94326,0.97458,0.95241,0.96387,0.69888,0.97316,0.36577,1.05033,0.0005248,0.0005248,0.0005248
98,8728.04,0.84194,0.37923,0.93706,0.97334,0.95289,0.9646,0.69992,0.97274,0.36704,1.04953,0.00051985,0.00051985,0.00051985
99,8816.82,0.84421,0.3801,0.93829,0.97373,0.9531,0.96487,0.70198,0.97357,0.36456,1.0503,0.0005149,0.0005149,0.0005149
100,8905.88,0.83857,0.38021,0.94076,0.97431,0.95159,0.96427,0.7019,0.97455,0.36472,1.05126,0.00050995,0.00050995,0.00050995
101,8994.12,0.83593,0.37914,0.93689,0.97233,0.95243,0.96432,0.70169,0.97602,0.36291,1.05234,0.000505,0.000505,0.000505
102,9083.22,0.83436,0.37847,0.94064,0.97126,0.95284,0.96459,0.70029,0.97656,0.36248,1.05298,0.00050005,0.00050005,0.00050005
103,9171.56,0.83374,0.37787,0.93249,0.9736,0.95076,0.96396,0.69906,0.97623,0.3626,1.05266,0.0004951,0.0004951,0.0004951
104,9260.14,0.83208,0.37416,0.9356,0.97243,0.95292,0.96376,0.69994,0.97481,0.3618,1.05268,0.00049015,0.00049015,0.00049015
105,9348.57,0.83099,0.37548,0.93449,0.97242,0.95512,0.96399,0.70068,0.97546,0.36079,1.05345,0.0004852,0.0004852,0.0004852
106,9437.22,0.83412,0.37437,0.93767,0.97228,0.9534,0.96364,0.69975,0.97379,0.36071,1.05278,0.00048025,0.00048025,0.00048025
107,9525.32,0.81998,0.37004,0.93299,0.97151,0.95283,0.9637,0.70134,0.97243,0.36002,1.05359,0.0004753,0.0004753,0.0004753
108,9613.8,0.81639,0.36499,0.93228,0.9701,0.95493,0.96345,0.70134,0.97288,0.36088,1.05483,0.00047035,0.00047035,0.00047035
109,9702.08,0.82143,0.37212,0.92938,0.97086,0.95376,0.96356,0.70106,0.97289,0.35958,1.05243,0.0004654,0.0004654,0.0004654
110,9790.56,0.8149,0.36377,0.93261,0.97093,0.95288,0.96355,0.70131,0.97082,0.35878,1.05232,0.00046045,0.00046045,0.00046045
111,9878.79,0.81371,0.36615,0.93179,0.97089,0.95279,0.96337,0.70179,0.97103,0.36028,1.05271,0.0004555,0.0004555,0.0004555
112,9966.99,0.81095,0.36367,0.93219,0.97086,0.95213,0.96367,0.70223,0.97131,0.36068,1.05266,0.00045055,0.00045055,0.00045055
113,10055.7,0.81674,0.36625,0.93115,0.97051,0.95246,0.96292,0.70211,0.97106,0.36372,1.05252,0.0004456,0.0004456,0.0004456
114,10144.1,0.80796,0.36326,0.92879,0.97108,0.95188,0.96288,0.70241,0.96959,0.36201,1.05158,0.00044065,0.00044065,0.00044065
115,10233,0.80544,0.36331,0.92859,0.96941,0.95291,0.96273,0.70251,0.971,0.36194,1.05143,0.0004357,0.0004357,0.0004357
116,10322.2,0.80717,0.36275,0.92714,0.97054,0.95176,0.96267,0.70248,0.9707,0.3626,1.05268,0.00043075,0.00043075,0.00043075
117,10410.3,0.79667,0.36066,0.92504,0.97008,0.95231,0.96333,0.70288,0.97069,0.36335,1.05313,0.0004258,0.0004258,0.0004258
